"date","sentiment_category","count"
"2025-01-24","positive",6
"2025-01-24","unknown",2
"2025-01-25","negative",2
"2025-01-25","neutral",1
"2025-01-25","positive",3
"2025-01-25","unknown",1
"2025-01-26","negative",1
"2025-01-26","positive",4
"2025-01-27","positive",4
"2025-01-27","unknown",1
"2025-01-28","negative",1
"2025-01-28","positive",2
"2025-01-29","negative",1
"2025-01-29","neutral",3
"2025-01-29","positive",3
"2025-01-30","negative",1
"2025-01-30","neutral",2
"2025-01-30","positive",2
"2025-01-30","unknown",1
"2025-01-31","neutral",2
"2025-01-31","positive",1
"2025-02-01","negative",1
"2025-02-01","positive",8
"2025-02-02","negative",1
"2025-02-02","neutral",2
"2025-02-02","positive",2
"2025-02-03","neutral",3
"2025-02-03","positive",8
"2025-02-04","negative",3
"2025-02-04","positive",8
"2025-02-04","unknown",1
"2025-02-05","positive",3
"2025-02-06","positive",7
"2025-02-07","neutral",1
"2025-02-07","positive",7
"2025-02-08","negative",3
"2025-02-08","positive",5
"2025-02-08","unknown",1
"2025-02-09","positive",2
"2025-02-10","neutral",1
"2025-02-10","positive",4
"2025-02-11","negative",2
"2025-02-11","neutral",1
"2025-02-11","positive",5
"2025-02-12","negative",1
"2025-02-12","neutral",1
"2025-02-12","positive",4
"2025-02-13","negative",1
"2025-02-13","neutral",1
"2025-02-13","positive",4
"2025-02-14","negative",1
"2025-02-14","neutral",2
"2025-02-14","positive",12
"2025-02-14","unknown",1
"2025-02-15","negative",4
"2025-02-15","neutral",2
"2025-02-15","positive",5
"2025-02-16","negative",1
"2025-02-16","neutral",1
"2025-02-16","positive",1
"2025-02-17","negative",2
"2025-02-17","neutral",1
"2025-02-17","positive",11
"2025-02-18","negative",1
"2025-02-18","positive",4
"2025-02-19","negative",3
"2025-02-19","positive",3
"2025-02-20","negative",2
"2025-02-20","positive",1
"2025-02-21","negative",3
"2025-02-21","neutral",1
"2025-02-21","positive",4
"2025-02-22","negative",1
"2025-02-22","neutral",2
"2025-02-22","positive",4
"2025-02-23","positive",2
"2025-02-24","negative",1
"2025-02-24","neutral",1
"2025-02-24","positive",3
"2025-02-25","negative",2
"2025-02-25","neutral",1
"2025-02-25","positive",12
"2025-02-26","negative",2
"2025-02-26","positive",5
"2025-02-27","negative",2
"2025-02-27","positive",3
"2025-02-28","positive",4
"2025-03-01","neutral",3
"2025-03-01","positive",1
"2025-03-02","negative",1
"2025-03-02","neutral",1
"2025-03-02","positive",1
"2025-03-02","unknown",1
"2025-03-03","negative",3
"2025-03-03","positive",4
"2025-03-04","negative",1
"2025-03-04","neutral",2
"2025-03-04","positive",5
"2025-03-05","neutral",2
"2025-03-05","positive",8
"2025-03-05","unknown",1
"2025-03-06","negative",3
"2025-03-06","neutral",3
"2025-03-06","positive",11
"2025-03-07","positive",8
"2025-03-08","negative",2
"2025-03-08","neutral",1
"2025-03-08","positive",12
"2025-03-09","neutral",1
"2025-03-09","positive",6
"2025-03-09","unknown",1
"2025-03-10","negative",2
"2025-03-10","neutral",1
"2025-03-10","positive",4
"2025-03-11","positive",5
"2025-03-12","negative",2
"2025-03-12","positive",6
"2025-03-12","unknown",1
"2025-03-13","neutral",1
"2025-03-13","positive",7
"2025-03-13","unknown",2
"2025-03-14","negative",5
"2025-03-14","neutral",3
"2025-03-14","positive",9
"2025-03-15","negative",2
"2025-03-15","neutral",2
"2025-03-15","positive",7
"2025-03-16","negative",1
"2025-03-16","positive",8
"2025-03-16","unknown",1
"2025-03-17","negative",1
"2025-03-17","positive",10
"2025-03-18","negative",3
"2025-03-18","neutral",1
"2025-03-18","positive",7
"2025-03-18","unknown",1
"2025-03-19","negative",4
"2025-03-19","positive",13
"2025-03-20","positive",9
"2025-03-20","unknown",1
"2025-03-21","negative",3
"2025-03-21","neutral",1
"2025-03-21","positive",5
"2025-03-22","negative",7
"2025-03-22","neutral",4
"2025-03-22","positive",15
"2025-03-23","negative",2
"2025-03-23","neutral",4
"2025-03-23","positive",10
"2025-03-23","unknown",2
"2025-03-24","negative",1
"2025-03-24","neutral",1
"2025-03-24","positive",11
"2025-03-24","unknown",3
"2025-03-25","negative",3
"2025-03-25","neutral",3
"2025-03-25","positive",8
"2025-03-25","unknown",1
"2025-03-26","negative",2
"2025-03-26","positive",5
"2025-03-27","negative",1
"2025-03-27","positive",10
"2025-03-28","negative",5
"2025-03-28","positive",10
"2025-03-28","unknown",3
"2025-03-29","negative",3
"2025-03-29","neutral",1
"2025-03-29","positive",18
"2025-03-30","negative",5
"2025-03-30","neutral",3
"2025-03-30","positive",8
"2025-03-31","negative",1
"2025-03-31","neutral",4
"2025-03-31","positive",6
"2025-03-31","unknown",1
"2025-04-01","negative",1
"2025-04-01","neutral",2
"2025-04-01","positive",9
"2025-04-02","negative",2
"2025-04-02","neutral",3
"2025-04-02","positive",8
"2025-04-03","negative",2
"2025-04-03","positive",5
"2025-04-03","unknown",2
"2025-04-04","negative",3
"2025-04-04","neutral",2
"2025-04-04","positive",13
"2025-04-05","negative",2
"2025-04-05","neutral",3
"2025-04-05","positive",10
"2025-04-05","unknown",3
"2025-04-06","negative",8
"2025-04-06","neutral",3
"2025-04-06","positive",8
"2025-04-06","unknown",3
"2025-04-07","negative",3
"2025-04-07","neutral",2
"2025-04-07","positive",6
"2025-04-08","negative",4
"2025-04-08","neutral",2
"2025-04-08","positive",13
"2025-04-08","unknown",1
"2025-04-09","negative",1
"2025-04-09","neutral",1
"2025-04-09","positive",7
"2025-04-09","unknown",1
"2025-04-10","neutral",1
"2025-04-10","positive",5
"2025-04-10","unknown",2
"2025-04-11","negative",3
"2025-04-11","positive",7
"2025-04-11","unknown",1
"2025-04-12","negative",2
"2025-04-12","neutral",3
"2025-04-12","positive",8
"2025-04-12","unknown",2
"2025-04-13","negative",2
"2025-04-13","neutral",1
"2025-04-13","positive",5
"2025-04-14","negative",4
"2025-04-14","neutral",2
"2025-04-14","positive",13
"2025-04-15","negative",3
"2025-04-15","neutral",1
"2025-04-15","positive",12
"2025-04-16","negative",1
"2025-04-16","neutral",7
"2025-04-16","positive",9
"2025-04-17","negative",2
"2025-04-17","positive",2
"2025-04-17","unknown",1
"2025-04-18","negative",2
"2025-04-18","neutral",2
"2025-04-18","positive",15
"2025-04-18","unknown",1
"2025-04-19","positive",10
"2025-04-20","negative",1
"2025-04-20","neutral",2
"2025-04-20","positive",4
"2025-04-20","unknown",1
"2025-04-21","negative",3
"2025-04-21","neutral",1
"2025-04-21","positive",8
"2025-04-21","unknown",1
"2025-04-22","negative",4
"2025-04-22","neutral",2
"2025-04-22","positive",8
"2025-04-22","unknown",2
"2025-04-23","negative",3
"2025-04-23","neutral",5
"2025-04-23","positive",11
"2025-04-23","unknown",2
"2025-04-24","negative",3
"2025-04-24","neutral",4
"2025-04-24","positive",21
"2025-04-24","unknown",1
"2025-04-25","neutral",4
"2025-04-25","positive",20
"2025-04-25","unknown",3
"2025-04-26","negative",4
"2025-04-26","neutral",5
"2025-04-26","positive",17
"2025-04-26","unknown",3
"2025-04-27","negative",4
"2025-04-27","neutral",2
"2025-04-27","positive",9
"2025-04-28","negative",6
"2025-04-28","neutral",2
"2025-04-28","positive",14
"2025-04-28","unknown",2
"2025-04-29","negative",6
"2025-04-29","neutral",3
"2025-04-29","positive",10
"2025-04-30","negative",5
"2025-04-30","neutral",2
"2025-04-30","positive",13
"2025-05-01","negative",1
"2025-05-01","neutral",3
"2025-05-01","positive",8
"2025-05-01","unknown",1
"2025-05-02","negative",2
"2025-05-02","neutral",9
"2025-05-02","positive",12
"2025-05-02","unknown",5
"2025-05-03","negative",3
"2025-05-03","neutral",4
"2025-05-03","positive",17
"2025-05-03","unknown",1
"2025-05-04","negative",7
"2025-05-04","neutral",1
"2025-05-04","positive",19
"2025-05-05","negative",21
"2025-05-05","neutral",8
"2025-05-05","positive",28
"2025-05-06","negative",5
"2025-05-06","positive",20
"2025-05-07","negative",5
"2025-05-07","neutral",3
"2025-05-07","positive",9
"2025-05-08","negative",5
"2025-05-08","neutral",3
"2025-05-08","positive",7
"2025-05-08","unknown",3
"2025-05-09","neutral",3
"2025-05-09","positive",13
"2025-05-10","negative",2
"2025-05-10","neutral",7
"2025-05-10","positive",6
"2025-05-10","unknown",1
"2025-05-11","negative",8
"2025-05-11","neutral",1
"2025-05-11","positive",8
"2025-05-11","unknown",4
"2025-05-12","negative",5
"2025-05-12","neutral",9
"2025-05-12","positive",20
"2025-05-12","unknown",8
"2025-05-13","negative",3
"2025-05-13","neutral",2
"2025-05-13","positive",14
"2025-05-13","unknown",1
"2025-05-14","negative",10
"2025-05-14","neutral",2
